SaleID,OrderDate,CustomerID,ProductID,EmployeeID,Quantity,Discount,PaymentMethod,SalesChannel,OrderStatus,StoreID,UnitPrice,UnitCost,CustomerCity,StoreCity,Revenue,Cost,Profit,Tax
303612,2024-11-13,713,188,182,5,10,Mastercard,Online,Returned,14,4144.59,3131,Jazan,Khobar,18650.66,15655,2995.66,2797.6
325881,2024-12-12,907,70,91,3,0,Apple Pay,Store,Returned,19,3212.08,2465,Tabuk,Tabuk,9636.24,7395,2241.24,1445.44
484607,2025-12-12,816,184,120,3,0,Cash,Store,Cancelled,19,6053.38,4696,Tabuk,Tabuk,18160.14,14088,4072.14,2724.02
320413,2024-12-25,437,116,112,2,10,Mastercard,Store,Pending,15,4328.44,3348,Dammam,Dammam,7791.19,6696,1095.19,1168.68
303341,2024-11-10,270,132,194,2,0,Cash,Store,Returned,14,5466.05,3918,Khobar,Khobar,10932.1,7836,3096.1,1639.82
498917,2025-12-03,892,24,152,5,15,Cash,Store,Completed,16,3838.14,2906,Dammam,Dammam,16312.1,14530,1782.1,2446.82
476510,2025-11-28,96,222,186,1,15,Mastercard,Store,Returned,17,6015.53,4689,Abha,Abha,5113.2,4689,424.2,766.98
490567,2025-12-09,187,29,205,1,0,STC Pay,Store,Completed,2,4213.34,3081,Riyadh,Riyadh,4213.34,3081,1132.34,632.0
463712,2025-11-12,311,60,60,3,15,Visa,Store,Completed,17,4878.66,3507,Abha,Abha,12440.58,10521,1919.58,1866.09
295342,2024-11-08,544,164,98,4,0,Mastercard,Store,Completed,18,4482.27,3427,Jazan,Jazan,17929.08,13708,4221.08,2689.36
312670,2024-11-09,694,60,196,4,0,Apple Pay,Online,Returned,16,4878.66,3507,Riyadh,Dammam,19514.64,14028,5486.64,2927.2
329735,2024-12-08,653,67,137,1,0,Mada,Store,Returned,17,5519.21,4488,Abha,Abha,5519.21,4488,1031.21,827.88
369522,2025-04-17,207,66,25,3,0,Mastercard,Store,Completed,13,6444.99,4790,Khobar,Khobar,19334.97,14370,4964.97,2900.25
379781,2025-04-06,152,115,114,5,15,STC Pay,Online,Completed,10,6342.82,4985,Dammam,Makkah,26956.98,24925,2031.98,4043.55
453312,2025-10-18,913,83,33,1,0,Mastercard,Store,Pending,8,7553.3,5398,Jeddah,Jeddah,7553.3,5398,2155.3,1132.99
442897,2025-10-31,142,44,193,2,0,Mastercard,Store,Returned,2,6854.91,5202,Riyadh,Riyadh,13709.82,10404,3305.82,2056.47
374859,2025-04-30,277,279,144,4,5,Apple Pay,Store,Completed,1,2361.86,1766,Riyadh,Riyadh,8975.07,7064,1911.07,1346.26
217130,2024-03-17,37,239,134,3,0,Apple Pay,Online,Completed,11,4011.24,3079,Madinah,Madinah,12033.72,9237,2796.72,1805.06
435348,2025-09-03,99,58,176,4,10,Visa,Online,Completed,14,4221.68,3113,Riyadh,Khobar,15198.05,12452,2746.05,2279.71
370258,2025-04-21,886,221,88,4,20,Mada,Store,Completed,14,6731.39,5528,Khobar,Khobar,21540.45,22112,-571.55,3231.07
285280,2024-10-28,778,238,125,4,5,Apple Pay,Store,Completed,20,6491.48,5366,Taif,Taif,24667.62,21464,3203.62,3700.14
447090,2025-10-09,209,281,44,4,15,Visa,Online,Completed,4,1067.31,774,Taif,Riyadh,3628.85,3096,532.85,544.33
213260,2024-03-21,373,237,243,2,15,Visa,Store,Completed,19,4584.46,3787,Tabuk,Tabuk,7793.58,7574,219.58,1169.04
423455,2025-08-09,674,45,144,1,0,Mastercard,Online,Returned,12,5117.8,3832,Taif,Madinah,5117.8,3832,1285.8,767.67
396482,2025-06-05,870,183,66,1,0,Visa,Store,Returned,20,6505.87,4880,Taif,Taif,6505.87,4880,1625.87,975.88
220505,2024-04-06,20,95,201,4,5,Mastercard,Online,Completed,16,5906.29,4870,Dammam,Dammam,22443.9,19480,2963.9,3366.58
397521,2025-06-05,905,61,37,3,0,Mada,Store,Completed,11,5163.84,4254,Madinah,Madinah,15491.52,12762,2729.52,2323.73
180003,2023-12-11,181,234,84,3,0,Mastercard,Store,Cancelled,17,8952.14,6648,Abha,Abha,26856.42,19944,6912.42,4028.46
422170,2025-08-24,610,251,3,5,5,STC Pay,Online,Completed,1,8364.13,6070,Abha,Riyadh,39729.62,30350,9379.62,5959.44
410948,2025-07-21,258,245,45,3,5,Cash,Store,Completed,6,4619.53,3785,Jeddah,Jeddah,13165.66,11355,1810.66,1974.85
111527,2023-04-24,162,2,155,4,5,Mada,Store,Returned,8,4862.3,3905,Jeddah,Jeddah,18476.74,15620,2856.74,2771.51
161256,2023-10-24,129,197,69,1,15,Mada,Store,Pending,11,6084.9,4495,Madinah,Madinah,5172.16,4495,677.16,775.82
106327,2023-04-29,402,292,132,1,0,Mastercard,Store,Returned,2,506.31,405,Riyadh,Riyadh,506.31,405,101.31,75.95
280048,2024-09-21,572,152,128,3,10,Mada,Store,Cancelled,7,5575.64,4313,Jeddah,Jeddah,15054.23,12939,2115.23,2258.13
341339,2025-02-25,115,105,210,4,0,Mada,Store,Completed,15,3724.88,3096,Dammam,Dammam,14899.52,12384,2515.52,2234.93
330405,2025-01-11,32,239,193,5,0,STC Pay,Store,Pending,7,4011.24,3079,Jeddah,Jeddah,20056.2,15395,4661.2,3008.43
