ReturnID,SaleID,ReturnDate,Reason,RefundAmount
122,858,2022-02-19,Defective Product,1925.92
284,1970,2022-02-16,Wrong Item,18647.26
313,2184,2022-02-17,Damaged Product,22131.3
620,4324,2022-02-07,Defective Product,25538.56
767,5358,2022-03-19,Defective Product,31344.81
934,6475,2022-02-26,Damaged Product,5301.06
975,6751,2022-02-27,Defective Product,31195.46
1175,8204,2022-02-20,Changed Mind,6640.78
1234,8678,2022-02-18,Wrong Item,41177.82
1438,10061,2022-04-08,Changed Mind,6483.96
1664,11569,2022-03-27,Wrong Item,23635.44
1725,11989,2022-03-18,Late Delivery,33860.37
1730,12039,2022-04-12,Late Delivery,3363.76
2393,16940,2022-05-17,Damaged Product,16764.34
2532,17824,2022-05-05,Late Delivery,8406.73
2776,19403,2022-05-09,Wrong Item,5312.62
2925,20398,2022-05-01,Late Delivery,22568.11
3002,20961,2022-05-10,Wrong Item,18997.94
3062,21425,2022-05-06,Changed Mind,8764.56
3075,21510,2022-05-09,Late Delivery,7128.76
3082,21560,2022-05-02,Damaged Product,21297.37
3086,21584,2022-05-07,Changed Mind,8370.77
3854,26835,2022-05-22,Late Delivery,7525.08
3973,27667,2022-05-17,Wrong Item,32837.33
4032,28044,2022-05-24,Changed Mind,34150.28
4153,28938,2022-05-28,Changed Mind,19943.25
4158,28980,2022-06-10,Late Delivery,16262.66
4423,31002,2022-07-06,Changed Mind,19811.28
4450,31191,2022-06-19,Changed Mind,4901.47
4955,34680,2022-06-18,Defective Product,14966.1
5535,38764,2022-08-04,Damaged Product,17279.24
6093,42817,2022-08-23,Defective Product,2580.34
6138,43145,2022-08-25,Damaged Product,4733.07
6158,43323,2022-08-26,Changed Mind,4948.54
6754,47268,2022-09-24,Late Delivery,18104.09
7222,50298,2022-09-28,Damaged Product,12975.52
7390,51578,2022-09-20,Wrong Item,12467.09
8148,57037,2022-11-02,Changed Mind,35721.76
8311,58279,2022-11-09,Late Delivery,8471.03
8341,58474,2022-11-11,Changed Mind,14672.5
8678,60786,2022-12-12,Late Delivery,15425.54
9086,63683,2022-11-19,Defective Product,24403.18
9675,67628,2022-11-27,Damaged Product,26697.91
9811,68634,2022-12-04,Defective Product,7175.67
9820,68703,2022-11-19,Defective Product,8026.28
9865,68954,2022-11-27,Wrong Item,8406.73
10428,73127,2022-12-13,Changed Mind,25215.5
10470,73380,2023-01-06,Late Delivery,20758.17
10486,73546,2023-01-05,Late Delivery,11335.78
10549,74018,2023-01-13,Damaged Product,13190.42
10783,75691,2023-01-02,Defective Product,32431.38
11199,78591,2023-01-12,Changed Mind,40959.49
11587,81196,2023-01-11,Changed Mind,6650.86
12373,86727,2023-03-10,Late Delivery,25536.22
12680,88718,2023-02-14,Defective Product,3742.38
12823,89757,2023-03-05,Late Delivery,7504.12
13343,93473,2023-04-04,Late Delivery,13377.93
13422,94007,2023-04-05,Wrong Item,18751.66
13487,94395,2023-03-31,Defective Product,4449.65
13991,98115,2023-03-21,Late Delivery,20989.32
14273,99879,2023-03-16,Wrong Item,10217.06
14291,100075,2023-03-22,Wrong Item,14140.32
14508,101762,2023-03-27,Defective Product,40240.11
14865,104252,2023-05-05,Defective Product,7831.63
14978,104993,2023-05-05,Damaged Product,18111.86
15253,106920,2023-04-21,Changed Mind,4334.09
15682,109832,2023-04-12,Damaged Product,12014.96
15907,111291,2023-04-10,Damaged Product,43534.46
16056,112323,2023-04-23,Late Delivery,33551.02
16109,112639,2023-05-08,Defective Product,21210.74
16528,115731,2023-05-18,Defective Product,18474.69
16855,117990,2023-06-05,Changed Mind,7817.67
16927,118552,2023-05-30,Damaged Product,29584.12
16953,118709,2023-05-14,Defective Product,30503.98
17448,122042,2023-06-18,Late Delivery,18166.04
17696,123777,2023-06-08,Defective Product,29918.11
18007,125951,2023-06-30,Wrong Item,20311.3
18023,126028,2023-06-28,Defective Product,4901.47
18153,126872,2023-07-08,Damaged Product,20989.32
18267,127653,2023-07-08,Damaged Product,30503.98
18422,128740,2023-07-26,Defective Product,16658.21
18598,129945,2023-07-23,Late Delivery,6262.04
18937,132221,2023-07-23,Changed Mind,24626.05
19064,133100,2023-07-18,Late Delivery,39118.93
19166,133807,2023-07-23,Wrong Item,16933.98
19341,134994,2023-08-09,Late Delivery,5543.14
19676,137355,2023-09-07,Wrong Item,25424.89
20337,141984,2023-09-13,Wrong Item,26504.25
20345,142026,2023-08-10,Defective Product,29655.53
20927,146122,2023-09-18,Defective Product,3797.56
21221,148096,2023-09-20,Wrong Item,10463.68
21468,149824,2023-09-18,Changed Mind,1637.02
21675,151273,2023-09-27,Late Delivery,18037.57
22089,154171,2023-10-25,Changed Mind,19168.72
22449,156575,2023-10-20,Changed Mind,7614.24
22605,157606,2023-11-13,Wrong Item,9296.91
22815,159187,2023-11-02,Defective Product,32234.33
23069,160951,2023-10-21,Late Delivery,3683.82
23161,161569,2023-11-08,Defective Product,7883.15
23289,162458,2023-10-19,Wrong Item,20328.32
