StoreID,StoreName,City,Region,StoreType,OpeningDate
10,Al Diyafa Mall,Makkah,Western,Outlet,2014-04-14
6,Mall of Arabia,Jeddah,Western,Mall,2020-01-20
8,Al Andalus Mall,Jeddah,Western,Mall,2013-02-28
2,Granada Mall,Riyadh,Central,Mall,2017-11-16
1,Riyadh Park,Riyadh,Central,Mall,2022-03-27
13,Dhahran Mall,Khobar,Eastern,Mall,2025-02-25
7,Aziz Mall,Jeddah,Western,Mall,2020-04-19
12,Rashed Mall Madinah,Madinah,Western,Mall,2023-10-23
19,Tabuk Park,Tabuk,Northern,Mall,2012-02-20
16,Marina Mall,Dammam,Eastern,Mall,2013-06-13
18,Jazan Mall,Jazan,Southern,Mall,2013-12-02
14,Al Rashid Mall,Khobar,Eastern,Flagship,2014-03-11
9,Makkah Mall,Makkah,Western,Mall,2024-11-26
15,Othaim Mall,Dammam,Eastern,Mall,2013-05-16
11,Al Noor Mall,Madinah,Western,Mall,2023-02-22
20,Taif Heart Mall,Taif,Western,Mall,2015-04-02
3,Nakheel Mall,Riyadh,Central,Mall,2023-03-12
4,Panorama Mall,Riyadh,Central,Mall,2012-11-26
17,Abha Mall,Abha,Southern,Mall,2015-04-15
5,Red Sea Mall,Jeddah,Western,Mall,2021-08-17
